project_id,sector,state,original_cost,revised_cost,planned_duration_months,project_age_months,physical_progress,financial_progress,milestones_total,milestones_delayed,land_acquisition_pending,clearance_pending,funding_issue,contractor_issue,previous_schedule_deviation,is_delayed
PAI-00019,Roads,Gujarat,856.2,962.2,48,65,95.3,90.3,10,0,1,0,1,0,6.6,1
PAI-00020,Roads,Karnataka,382.5,419.7,41,38,100.0,100.0,11,2,1,0,0,0,-7.2,0
PAI-00021,Railways,Telangana,285.3,295.3,52,42,82.2,88.3,15,1,1,0,0,0,6.5,0
PAI-00022,Roads,Gujarat,756.8,798.0,19,40,99.6,97.0,5,0,1,0,0,0,3.5,1
PAI-00023,Power,Rajasthan,78.5,80.6,39,62,99.0,98.9,10,0,1,0,0,0,-1.6,0
PAI-00024,Railways,Tamil Nadu,316.4,333.3,48,45,100.0,97.9,11,2,0,1,0,1,-4.5,0
PAI-00025,Industrial Corridors,West Bengal,77.5,85.4,53,65,97.6,100.0,12,1,1,1,0,0,1.4,1
PAI-00026,Water & Sanitation,West Bengal,490.0,546.1,53,16,21.9,6.7,13,2,0,0,1,0,3.3,1
PAI-00027,Railways,Odisha,143.7,151.5,40,56,86.1,90.3,13,1,1,0,0,0,1.4,1
PAI-00028,Power,Uttar Pradesh,588.5,629.8,42,81,100.0,94.3,10,2,0,0,0,0,16.4,1
PAI-00029,Power,Tamil Nadu,219.9,239.0,72,59,81.2,95.7,21,0,0,0,1,0,5.9,0
PAI-00030,Urban Transit,Uttar Pradesh,374.8,376.3,77,51,61.1,69.3,20,1,0,0,0,0,9.9,0
PAI-00031,Roads,Jharkhand,312.0,320.0,55,75,81.9,80.2,13,0,1,1,0,0,1.1,0
PAI-00032,Roads,West Bengal,641.8,649.1,24,11,51.0,47.0,4,0,0,1,0,0,-1.5,1
PAI-00033,Roads,Tamil Nadu,211.0,218.2,61,58,97.3,89.5,15,2,0,0,0,0,9.6,0
PAI-00034,Railways,Karnataka,1253.2,1362.9,62,60,100.0,95.1,15,1,1,0,0,0,1.4,1
PAI-00035,Power,Andhra Pradesh,202.9,223.0,30,15,60.5,54.9,8,3,0,0,0,0,11.4,1
PAI-00036,Urban Transit,Tamil Nadu,400.2,413.2,41,46,100.0,96.5,12,0,0,0,0,0,-12.0,0
PAI-00037,Power,Rajasthan,158.8,160.4,39,65,98.8,84.6,10,0,0,0,0,0,3.5,0
PAI-00038,Urban Transit,Jharkhand,176.9,192.6,19,36,100.0,80.0,7,2,0,0,0,0,8.1,0
PAI-00039,Airports,Karnataka,1180.6,1241.3,27,6,10.9,6.9,4,0,0,0,0,0,-1.9,0
PAI-00040,Industrial Corridors,Kerala,161.6,192.1,28,82,97.0,89.9,7,3,1,1,0,1,8.7,1
PAI-00041,Urban Transit,Maharashtra,407.0,420.1,44,9,17.5,30.7,12,0,0,0,0,0,5.5,0
PAI-00042,Railways,Karnataka,502.4,529.4,32,14,40.4,42.3,10,2,1,0,0,0,-4.7,0
PAI-00043,Railways,Telangana,232.4,242.1,51,43,72.0,69.7,12,0,0,0,0,1,0.3,1
PAI-00044,Industrial Corridors,Bihar,249.5,260.0,41,37,92.2,91.1,11,0,0,1,0,0,2.8,0
PAI-00045,Railways,Gujarat,451.2,466.3,78,75,96.1,87.4,18,1,0,0,0,0,-0.9,0
PAI-00046,Water & Sanitation,Karnataka,190.1,195.3,72,24,32.4,30.8,17,1,0,0,0,0,-2.6,1
PAI-00047,Water & Sanitation,Rajasthan,163.9,176.2,31,19,60.7,43.9,5,1,0,0,1,0,-3.8,1
PAI-00048,Power,Andhra Pradesh,154.1,166.6,42,25,54.9,68.6,11,1,0,0,0,1,11.3,0
PAI-00049,Ports,Tamil Nadu,195.9,222.1,38,41,92.3,93.9,10,0,1,1,0,1,-2.2,1
PAI-00050,Water & Sanitation,Andhra Pradesh,74.1,77.1,47,83,100.0,100.0,12,0,0,0,0,0,0.1,0
PAI-00051,Roads,Rajasthan,63.3,63.8,31,7,17.5,8.0,9,0,0,0,0,0,-8.8,0
PAI-00052,Railways,Madhya Pradesh,200.2,207.4,41,42,100.0,91.2,11,0,1,0,0,0,4.2,0
PAI-00053,Roads,Bihar,255.6,270.6,36,28,70.1,78.2,12,0,1,0,1,0,-3.8,1
PAI-00054,Industrial Corridors,Telangana,997.9,1137.2,36,82,100.0,100.0,9,1,1,0,0,1,3.9,1
PAI-00055,Urban Transit,Maharashtra,126.6,129.6,54,38,65.2,73.1,12,1,0,0,0,0,2.4,0
PAI-00056,Railways,Telangana,441.2,446.4,20,35,89.9,73.8,6,1,0,0,0,1,-4.9,0
PAI-00057,Industrial Corridors,Jharkhand,165.4,170.9,52,83,100.0,100.0,12,1,0,0,0,0,6.9,1
PAI-00058,Roads,Rajasthan,183.6,185.5,80,29,33.8,32.0,21,0,1,0,0,0,2.0,1
PAI-00059,Industrial Corridors,Madhya Pradesh,408.4,416.5,34,60,90.3,80.2,9,0,0,0,0,0,4.2,0
PAI-00060,Urban Transit,Jharkhand,387.9,416.7,23,48,100.0,94.4,4,1,1,0,1,0,-3.8,0
PAI-00061,Water & Sanitation,Haryana,330.1,333.1,58,57,88.7,97.5,13,1,0,0,0,0,2.9,0
PAI-00062,Railways,Odisha,820.2,906.2,56,22,37.7,44.2,10,3,0,0,0,1,8.8,1
PAI-00063,Water & Sanitation,Karnataka,631.7,661.3,57,56,100.0,100.0,15,2,0,0,0,0,6.5,0
PAI-00064,Roads,Jharkhand,763.1,868.5,43,65,100.0,100.0,10,0,1,1,1,0,-0.2,0
PAI-00065,Water & Sanitation,West Bengal,972.5,1029.3,19,43,100.0,92.2,5,0,1,0,0,0,3.2,1
PAI-00066,Roads,Madhya Pradesh,119.6,123.3,44,42,100.0,100.0,11,1,0,0,0,0,1.1,0
PAI-00067,Roads,Tamil Nadu,386.0,431.2,22,14,66.5,57.0,8,0,0,0,1,0,14.2,1
PAI-00068,Water & Sanitation,Bihar,162.1,166.7,17,39,97.9,93.7,4,0,0,0,0,0,-5.3,0
PAI-00069,Power,Maharashtra,125.0,127.4,48,38,67.2,56.9,12,1,1,0,0,0,7.1,0
PAI-00070,Power,Uttar Pradesh,250.0,294.6,63,19,33.0,23.9,14,4,1,0,0,0,13.9,0
PAI-00071,Roads,Bihar,292.5,328.5,35,14,56.6,53.2,12,4,0,0,0,0,13.0,0
PAI-00072,Urban Transit,Bihar,86.2,89.1,77,14,10.1,18.2,20,1,0,0,0,0,8.4,0
PAI-00073,Roads,Bihar,314.0,317.5,35,58,89.7,96.2,8,1,0,1,0,0,4.4,0
PAI-00074,Railways,Madhya Pradesh,148.8,152.6,12,73,100.0,95.7,4,2,0,0,0,0,2.5,0
PAI-00075,Roads,Bihar,89.5,99.7,40,44,100.0,100.0,12,2,1,0,0,0,10.1,1
PAI-00076,Railways,Haryana,260.9,269.3,31,18,48.4,57.8,6,0,0,0,1,0,1.1,1
PAI-00077,Water & Sanitation,Haryana,374.5,403.2,43,75,100.0,91.2,12,2,0,1,0,0,6.1,0
PAI-00078,Urban Transit,Bihar,488.0,576.8,28,79,89.5,73.6,7,1,1,0,1,0,11.1,1
PAI-00079,Water & Sanitation,Bihar,128.3,131.1,32,19,53.6,51.7,12,0,0,0,0,0,-3.5,0
PAI-00080,Urban Transit,Kerala,285.1,295.6,44,6,6.9,12.5,10,3,0,0,0,0,1.0,0
PAI-00081,Industrial Corridors,Rajasthan,250.7,270.7,13,26,85.8,89.7,5,1,0,1,0,1,4.0,1
PAI-00082,Power,West Bengal,82.0,82.0,41,6,6.4,4.8,11,0,0,0,0,0,0.7,0
PAI-00083,Railways,Madhya Pradesh,222.1,229.3,41,13,26.0,26.0,10,0,1,0,0,1,0.2,1
PAI-00084,Water & Sanitation,Haryana,524.7,537.0,36,17,55.5,53.3,12,0,0,0,0,1,0.3,0
PAI-00085,Railways,Uttar Pradesh,499.4,519.6,56,46,83.6,83.0,15,3,0,0,0,0,5.3,1
PAI-00086,Airports,Karnataka,215.7,230.9,32,10,24.1,15.8,6,0,1,0,0,0,-6.9,0
PAI-00087,Airports,Tamil Nadu,66.5,68.3,63,58,86.0,84.3,13,0,0,0,0,0,-1.8,0
PAI-00088,Water & Sanitation,Uttar Pradesh,121.7,132.1,49,58,93.7,84.4,8,2,1,0,0,0,3.3,1
PAI-00089,Airports,Uttar Pradesh,103.5,106.4,36,75,98.6,95.9,13,1,0,0,0,0,12.5,0
PAI-00090,Roads,Karnataka,132.4,136.2,26,48,91.6,96.6,8,0,1,0,0,0,0.1,0
PAI-00091,Roads,Maharashtra,232.8,239.4,42,79,95.4,100.0,13,1,1,0,0,0,4.9,1
PAI-00092,Urban Transit,Rajasthan,159.0,165.5,41,76,99.6,95.4,11,1,1,0,0,0,2.4,1
PAI-00093,Industrial Corridors,Karnataka,208.9,219.5,58,32,48.5,60.2,16,0,0,0,1,0,4.0,1
PAI-00094,Railways,Gujarat,120.8,127.6,28,84,79.9,77.6,8,1,0,1,0,0,-1.2,0
PAI-00095,Urban Transit,Maharashtra,433.5,464.3,45,64,100.0,92.2,10,0,0,0,1,0,-1.4,0
PAI-00096,Ports,Bihar,206.6,213.3,36,20,63.1,62.9,8,1,1,0,0,0,-3.9,1
PAI-00097,Railways,Kerala,339.1,370.1,20,15,70.5,60.6,6,2,1,0,0,0,8.2,0
PAI-00098,Airports,Bihar,182.5,186.1,64,7,1.0,10.5,16,1,0,0,0,0,-1.8,0
PAI-00099,Ports,Maharashtra,351.2,388.6,26,65,73.9,70.1,4,1,1,1,0,0,-1.5,0
PAI-00100,Urban Transit,Jharkhand,369.1,379.1,48,54,92.2,94.5,14,1,0,0,0,0,4.9,0
PAI-00101,Roads,Karnataka,167.0,179.8,58,12,6.6,0.0,15,2,1,0,0,1,0.0,0
PAI-00102,Railways,Madhya Pradesh,210.8,217.1,31,15,41.9,33.9,7,1,0,0,0,0,2.8,0
PAI-00103,Urban Transit,Maharashtra,214.1,220.0,70,6,1.1,0.0,16,1,0,0,0,1,-0.2,1
PAI-00104,Urban Transit,Andhra Pradesh,265.0,289.6,67,67,100.0,100.0,19,0,1,0,0,0,5.9,0
PAI-00105,Water & Sanitation,Uttar Pradesh,166.4,172.7,39,47,100.0,100.0,9,0,0,0,0,0,-2.6,0
PAI-00106,Water & Sanitation,Bihar,468.7,468.7,32,9,29.0,27.1,9,0,0,0,0,0,2.7,0
PAI-00107,Urban Transit,West Bengal,80.6,84.0,46,6,6.3,10.5,8,0,0,0,0,0,-7.1,0
PAI-00108,Airports,Telangana,1522.8,1556.6,59,50,79.7,88.2,11,0,0,0,0,0,-1.6,0
PAI-00109,Ports,Odisha,591.1,641.2,37,45,99.5,99.9,11,2,1,1,0,0,3.8,1
PAI-00110,Industrial Corridors,Madhya Pradesh,154.8,183.7,38,62,94.7,87.7,6,1,1,0,1,1,2.2,1
PAI-00111,Railways,Karnataka,102.1,111.8,27,80,91.8,76.6,6,0,1,0,1,0,-2.7,0
PAI-00112,Railways,Andhra Pradesh,392.1,436.3,85,39,41.0,27.2,22,0,1,0,1,0,-2.6,0
PAI-00113,Roads,Telangana,265.9,276.4,35,77,90.7,93.3,12,1,0,1,0,0,4.1,1
PAI-00114,Water & Sanitation,Kerala,350.7,366.6,44,37,77.4,70.0,12,0,0,0,0,0,-3.0,0
PAI-00115,Roads,Kerala,100.1,105.2,51,11,18.2,13.4,12,0,0,0,0,0,-1.4,0
PAI-00116,Railways,Uttar Pradesh,576.2,609.4,54,72,98.3,100.0,13,2,0,0,0,0,13.4,0
PAI-00117,Power,Jharkhand,225.9,252.0,54,77,100.0,100.0,12,1,1,1,0,0,9.3,1
PAI-00118,Power,Tamil Nadu,546.7,597.4,31,72,89.0,75.3,8,0,1,0,1,0,2.7,1
PAI-00119,Roads,Bihar,37.9,40.1,37,26,70.8,67.2,8,0,1,1,0,0,-6.5,1
PAI-00120,Railways,Madhya Pradesh,266.5,281.6,35,65,95.6,93.4,6,1,1,0,0,0,2.8,0
PAI-00121,Roads,Bihar,170.5,170.9,67,66,81.3,93.5,16,1,0,0,0,0,-2.0,0
PAI-00122,Water & Sanitation,Telangana,340.8,374.1,30,57,100.0,100.0,5,1,1,0,1,0,-3.9,0
PAI-00123,Airports,Gujarat,66.3,67.8,41,51,87.8,76.7,11,0,0,0,0,0,-0.9,0
PAI-00124,Roads,Odisha,210.8,214.5,43,41,93.3,90.5,10,1,0,0,0,0,0.2,0
PAI-00125,Roads,Karnataka,325.8,369.3,20,19,100.0,89.7,9,0,1,0,1,0,2.4,1
PAI-00126,Water & Sanitation,Gujarat,137.2,144.8,32,76,93.8,89.8,6,0,1,1,0,0,3.8,1
PAI-00127,Power,Haryana,209.9,211.2,39,53,100.0,100.0,9,1,0,1,0,0,-4.9,0
PAI-00128,Urban Transit,Telangana,198.6,215.3,53,47,83.8,66.2,17,0,0,0,1,0,6.4,1
PAI-00129,Roads,Maharashtra,667.7,687.0,60,49,77.3,73.6,15,1,0,0,0,0,0.4,0
PAI-00130,Power,Odisha,86.2,92.4,17,71,98.0,95.4,4,1,1,1,0,0,10.9,1
PAI-00131,Urban Transit,Maharashtra,268.2,273.8,65,33,47.0,43.3,17,2,0,0,0,0,4.1,0
PAI-00132,Water & Sanitation,Maharashtra,159.8,162.4,18,21,100.0,100.0,6,0,0,0,0,0,-8.9,0
PAI-00133,Airports,Uttar Pradesh,529.3,579.3,32,59,100.0,97.7,4,0,1,0,1,0,7.9,1
PAI-00134,Industrial Corridors,Maharashtra,109.9,123.3,38,46,87.4,68.8,11,2,0,0,0,1,4.0,0
PAI-00135,Water & Sanitation,Rajasthan,570.3,572.0,40,27,67.9,61.4,9,1,0,0,0,0,-0.9,1
PAI-00136,Urban Transit,Rajasthan,218.6,232.0,27,53,94.5,79.3,6,1,0,0,1,0,-2.7,0
PAI-00137,Ports,Madhya Pradesh,544.8,615.1,64,46,84.3,86.7,16,1,1,1,0,1,1.4,1
PAI-00138,Water & Sanitation,West Bengal,685.0,731.7,39,31,68.4,65.0,10,1,0,0,1,0,5.9,0
PAI-00139,Urban Transit,Madhya Pradesh,145.6,159.6,50,43,80.7,83.7,13,0,1,0,1,0,-0.8,0
PAI-00140,Power,Gujarat,205.1,206.2,32,42,97.1,100.0,10,0,0,0,0,0,-5.9,0
PAI-00141,Roads,Bihar,308.8,329.3,63,78,97.6,95.9,16,1,1,0,0,0,2.9,1
PAI-00142,Railways,Bihar,242.8,253.2,66,53,73.7,74.2,20,0,0,0,0,0,-2.1,0
PAI-00143,Roads,West Bengal,118.1,121.8,36,53,100.0,100.0,11,1,1,0,0,0,-4.4,1
PAI-00144,Industrial Corridors,Haryana,368.0,428.2,56,73,94.7,88.5,16,3,1,1,0,0,15.2,1
PAI-00145,Railways,Jharkhand,367.2,379.6,50,14,28.5,37.0,9,1,1,0,0,0,-3.1,0
PAI-00146,Power,Tamil Nadu,84.3,94.1,72,54,74.7,86.8,14,1,1,0,0,0,18.3,1
PAI-00147,Railways,Haryana,480.3,516.1,46,72,83.8,99.3,11,0,0,0,1,0,4.7,0
PAI-00148,Roads,Kerala,325.2,354.5,44,53,100.0,88.2,12,0,1,0,1,0,1.7,0
PAI-00149,Urban Transit,West Bengal,153.7,158.2,17,82,97.2,88.3,6,1,0,0,0,0,9.1,1
PAI-00150,Power,West Bengal,319.3,350.2,44,33,85.1,83.4,10,4,0,0,0,0,6.6,1
PAI-00151,Railways,Uttar Pradesh,1320.8,1343.2,38,9,20.4,26.9,7,0,1,0,0,0,-8.2,1
PAI-00152,Railways,Jharkhand,675.0,756.7,13,32,98.5,87.2,4,2,1,0,0,1,1.8,1
PAI-00153,Airports,Uttar Pradesh,304.7,343.1,51,15,35.3,35.1,12,3,0,0,1,0,11.8,1
PAI-00154,Water & Sanitation,Gujarat,275.1,284.6,35,9,29.7,39.7,8,0,1,0,0,0,-2.5,0
PAI-00155,Railways,Uttar Pradesh,71.1,75.0,30,76,100.0,100.0,9,2,0,0,0,0,9.7,0
PAI-00156,Urban Transit,Telangana,538.0,561.0,57,36,64.6,58.8,15,0,0,0,0,0,-2.1,0
PAI-00157,Roads,Andhra Pradesh,448.2,498.5,18,16,96.5,75.1,8,1,1,0,0,0,0.6,1
PAI-00158,Ports,Tamil Nadu,179.8,188.9,28,81,86.0,81.7,5,1,1,0,0,0,-2.1,0
PAI-00159,Water & Sanitation,West Bengal,675.9,730.1,58,72,92.1,88.7,15,1,1,0,0,0,5.9,1
PAI-00160,Water & Sanitation,Kerala,129.8,142.3,45,33,62.9,53.3,12,1,0,0,1,0,2.9,1
PAI-00161,Power,Odisha,739.4,768.9,44,13,25.8,29.2,14,1,0,0,0,0,2.2,0
PAI-00162,Railways,Jharkhand,406.5,422.5,32,74,98.7,98.2,6,2,1,0,0,0,2.6,0
PAI-00163,Railways,Uttar Pradesh,272.2,272.2,16,46,100.0,100.0,4,0,0,0,0,0,-7.2,0
PAI-00164,Railways,Uttar Pradesh,161.2,165.8,65,72,90.2,94.0,15,0,1,0,0,0,-0.5,0
PAI-00165,Ports,Kerala,307.7,323.1,47,23,45.1,55.2,13,2,0,0,0,1,8.8,1
PAI-00166,Railways,Kerala,138.3,147.3,40,41,100.0,100.0,8,0,1,0,1,0,-0.7,0
PAI-00167,Power,Andhra Pradesh,230.3,237.4,66,22,35.2,61.2,15,0,0,0,0,0,-1.0,0
PAI-00168,Roads,Rajasthan,914.1,930.9,45,14,23.9,23.7,11,1,0,0,0,0,2.9,1
PAI-00169,Roads,Madhya Pradesh,52.2,57.4,48,12,31.7,44.2,14,0,0,0,1,0,7.7,0
PAI-00170,Water & Sanitation,Jharkhand,84.0,85.8,64,15,18.1,17.5,13,1,0,0,0,0,8.9,1
PAI-00171,Ports,Haryana,94.8,97.8,75,75,94.9,91.2,15,1,0,1,0,0,3.7,1
PAI-00172,Urban Transit,Madhya Pradesh,803.1,843.6,60,33,47.0,43.3,17,1,0,0,0,0,-1.1,0
PAI-00173,Urban Transit,Telangana,204.5,215.6,49,50,81.2,88.7,14,1,0,1,0,1,7.8,1
PAI-00174,Ports,Rajasthan,78.0,83.4,45,74,92.3,100.0,7,0,0,1,1,1,-0.2,1
PAI-00175,Industrial Corridors,Andhra Pradesh,86.7,89.2,45,37,66.8,54.2,8,1,0,0,0,0,3.7,1
PAI-00176,Industrial Corridors,Uttar Pradesh,316.4,325.1,30,16,59.4,65.7,7,1,0,0,0,0,1.4,0
PAI-00177,Power,Rajasthan,175.4,191.7,58,70,100.0,95.0,16,2,0,0,0,0,15.1,1
PAI-00178,Roads,Telangana,174.6,190.6,31,53,100.0,100.0,7,0,1,0,1,0,-1.0,0
PAI-00179,Water & Sanitation,Tamil Nadu,205.1,213.4,60,66,100.0,100.0,17,2,0,0,0,0,-0.5,0
PAI-00180,Industrial Corridors,Uttar Pradesh,125.2,126.2,44,25,41.9,59.9,14,3,0,0,0,0,4.4,0
PAI-00181,Airports,Odisha,35.5,36.3,62,81,81.0,87.9,19,2,0,0,0,0,0.4,1
PAI-00182,Urban Transit,Andhra Pradesh,855.3,941.3,38,39,83.2,77.5,10,2,0,0,0,1,4.7,1
PAI-00183,Railways,Maharashtra,165.9,179.6,34,27,83.7,92.7,5,1,1,1,0,0,3.2,1
PAI-00184,Power,West Bengal,614.3,637.7,32,19,60.1,46.5,8,1,0,0,0,0,3.2,0
PAI-00185,Railways,West Bengal,149.1,154.3,12,13,100.0,100.0,4,0,0,1,0,0,-3.2,0
PAI-00186,Railways,Madhya Pradesh,365.2,392.5,23,20,78.4,83.8,4,0,1,0,1,0,-4.5,0
PAI-00187,Ports,Maharashtra,143.8,169.0,54,64,96.0,100.0,12,2,1,0,1,0,9.1,1
PAI-00188,Roads,Karnataka,914.8,921.5,28,8,40.9,32.2,9,2,0,0,0,0,3.3,0
PAI-00189,Airports,Tamil Nadu,592.3,620.8,32,78,96.8,85.7,7,2,0,0,0,0,13.1,0
PAI-00190,Railways,Madhya Pradesh,260.8,260.8,52,31,55.5,46.3,12,0,0,1,0,0,7.4,0
PAI-00191,Roads,Madhya Pradesh,213.0,218.4,67,14,22.2,14.6,19,2,0,0,0,0,3.0,0
PAI-00192,Urban Transit,Rajasthan,307.0,314.3,41,76,89.4,77.6,11,0,0,0,0,0,-1.5,0
PAI-00193,Railways,Bihar,54.7,61.8,39,42,94.9,100.0,10,1,1,0,1,0,-2.4,0
PAI-00194,Water & Sanitation,Maharashtra,126.3,132.6,58,49,86.8,85.9,18,0,0,1,0,0,-4.7,0
PAI-00195,Water & Sanitation,Madhya Pradesh,148.8,159.3,53,84,97.2,100.0,15,2,1,1,0,0,1.0,0
PAI-00196,Roads,Telangana,116.6,128.3,47,70,93.8,100.0,8,2,0,1,0,1,1.6,0
PAI-00197,Railways,West Bengal,565.0,596.1,32,24,67.6,57.9,9,0,1,0,0,0,-4.7,0
PAI-00198,Power,Kerala,639.6,657.6,50,76,78.9,77.5,13,0,1,0,0,0,-3.9,0
PAI-00199,Railways,West Bengal,656.7,690.5,40,34,80.1,90.6,10,2,0,1,0,0,0.8,0
PAI-00200,Industrial Corridors,Madhya Pradesh,116.9,126.8,21,14,69.4,69.0,4,2,1,0,0,1,-1.0,1
PAI-00201,Urban Transit,Maharashtra,50.3,52.5,38,38,100.0,100.0,10,2,0,0,0,0,8.2,1
PAI-00202,Roads,Jharkhand,147.9,151.1,52,15,33.3,28.2,15,1,0,0,0,0,-4.6,0
PAI-00203,Power,Andhra Pradesh,293.7,306.4,41,40,98.9,100.0,9,1,0,0,0,0,-5.0,1
PAI-00204,Industrial Corridors,Kerala,80.9,89.5,25,76,100.0,97.4,8,1,1,1,0,0,1.3,0
PAI-00205,Airports,Jharkhand,96.1,96.8,38,30,85.7,92.9,12,0,0,0,0,0,-5.2,0
PAI-00206,Roads,Telangana,491.4,524.6,24,71,82.0,85.9,8,1,0,1,0,0,6.8,1
PAI-00207,Ports,Jharkhand,173.8,182.4,39,79,99.1,100.0,10,0,1,0,0,0,7.0,1
PAI-00208,Urban Transit,Uttar Pradesh,239.8,255.1,41,31,98.4,100.0,11,4,0,0,0,0,13.0,1
PAI-00209,Roads,Karnataka,647.7,708.1,43,33,85.7,96.3,12,2,0,0,0,0,17.0,1
PAI-00210,Industrial Corridors,Haryana,56.4,62.6,49,59,100.0,86.8,11,1,1,0,0,0,3.0,1
PAI-00211,Railways,Bihar,254.3,265.8,44,32,76.7,82.0,11,0,1,0,0,0,-0.8,1
PAI-00212,Urban Transit,Uttar Pradesh,214.6,227.9,75,51,69.5,51.3,20,0,0,0,0,1,0.6,0
PAI-00213,Water & Sanitation,Madhya Pradesh,142.5,165.0,69,76,100.0,93.0,18,0,0,1,1,1,8.2,0
PAI-00214,Water & Sanitation,Jharkhand,173.6,188.7,56,72,92.5,100.0,17,1,1,1,0,0,6.3,1
PAI-00215,Railways,Rajasthan,791.8,821.3,37,55,98.3,93.1,9,1,1,0,0,0,-4.4,1
PAI-00216,Urban Transit,Karnataka,208.4,234.4,43,78,97.0,100.0,9,0,1,0,1,0,3.6,1
PAI-00217,Roads,Haryana,374.8,407.5,37,38,96.7,100.0,9,1,1,1,0,0,-5.9,1
PAI-00218,Water & Sanitation,Bihar,255.3,280.1,12,32,100.0,100.0,4,0,1,1,0,0,4.4,0
PAI-00219,Ports,West Bengal,657.8,698.6,39,28,78.1,73.1,9,1,0,1,1,0,-5.8,1
PAI-00220,Roads,Rajasthan,587.4,622.4,36,42,91.9,91.9,13,0,0,1,0,0,-8.4,0
PAI-00221,Roads,Odisha,60.0,63.3,72,66,91.6,87.1,17,1,0,1,0,0,6.9,0
PAI-00222,Roads,Tamil Nadu,172.6,185.4,30,21,63.9,65.6,8,1,1,0,0,0,-0.9,1
PAI-00223,Railways,Madhya Pradesh,594.4,610.1,50,21,42.2,53.6,16,1,0,0,0,1,-0.3,0
PAI-00224,Railways,Bihar,118.1,123.0,52,84,93.5,100.0,14,1,0,1,0,0,0.9,1
PAI-00225,Industrial Corridors,Kerala,807.1,923.9,47,52,91.0,79.4,12,2,0,1,1,0,8.7,1
PAI-00226,Water & Sanitation,Jharkhand,294.8,294.8,59,45,67.9,67.3,14,0,0,0,0,0,1.8,0
PAI-00227,Railways,Jharkhand,152.7,159.0,34,13,41.7,27.2,7,0,0,0,1,1,-5.2,0
PAI-00228,Urban Transit,Madhya Pradesh,161.8,165.7,35,12,39.1,44.9,9,0,0,1,0,0,-2.5,0
PAI-00229,Urban Transit,Karnataka,350.9,409.9,50,72,94.0,95.0,11,0,1,0,1,1,2.4,1
PAI-00230,Ports,Rajasthan,400.9,431.2,58,15,40.2,19.2,13,1,0,1,0,0,3.8,1
PAI-00231,Roads,Haryana,308.4,313.4,56,26,43.3,43.9,16,0,0,0,0,0,-0.3,0
PAI-00232,Railways,Gujarat,590.0,635.1,52,82,100.0,100.0,15,1,1,0,0,0,-4.0,1
PAI-00233,Water & Sanitation,Bihar,246.2,253.1,37,19,43.8,24.2,12,0,0,0,0,0,3.0,0
PAI-00234,Airports,West Bengal,475.8,501.3,26,83,100.0,98.8,6,0,0,1,0,0,6.8,0
PAI-00235,Urban Transit,Rajasthan,299.1,308.2,47,11,26.4,18.8,9,0,0,0,0,0,-1.7,0
PAI-00236,Railways,Maharashtra,234.8,247.8,28,7,18.4,12.2,9,1,1,0,0,0,-0.2,0
PAI-00237,Ports,Kerala,646.7,701.4,32,48,95.5,97.8,6,0,1,0,0,0,3.7,0
PAI-00238,Roads,West Bengal,217.4,224.0,57,31,43.0,48.4,15,0,0,0,0,0,-0.3,0
