project_id,sector,state,original_cost,revised_cost,planned_duration_months,project_age_months,physical_progress,financial_progress,milestones_total,milestones_delayed,land_acquisition_pending,clearance_pending,funding_issue,contractor_issue,previous_schedule_deviation,actual_delay_months,actual_outcome,primary_delay_cause
HIST-00040,Power,Andhra Pradesh,344.2,351.4,46,55,93.6,87.2,12,0,0,0,0,0,-1.5,1,1-month delay,No material delay
HIST-00041,Water & Sanitation,Madhya Pradesh,182.1,185.9,86,21,33.5,34.1,22,0,0,1,0,0,-5.4,3,3-month delay,Pending clearance
HIST-00042,Industrial Corridors,Madhya Pradesh,114.8,133.8,67,34,44.7,26.5,20,4,0,0,0,1,15.1,3,3-month delay,Milestone slippage
HIST-00043,Urban Transit,Kerala,67.5,68.1,27,48,100.0,94.0,10,0,0,1,0,0,-3.5,0,Delivered within plan,Pending clearance
HIST-00044,Water & Sanitation,Karnataka,62.7,64.2,50,48,100.0,100.0,13,0,0,0,0,0,-4.9,0,Delivered within plan,No material delay
HIST-00045,Urban Transit,Rajasthan,195.1,216.4,26,69,100.0,100.0,4,0,1,0,1,0,3.3,1,1-month delay,Land acquisition
HIST-00046,Water & Sanitation,Telangana,456.2,481.0,55,35,60.8,64.9,12,1,1,0,0,0,2.4,0,Delivered within plan,Land acquisition
HIST-00047,Industrial Corridors,Karnataka,374.8,382.5,38,47,100.0,96.0,6,0,1,0,0,0,0.1,6,6-month delay,Land acquisition
HIST-00048,Urban Transit,Maharashtra,139.8,146.9,49,15,33.4,37.9,13,1,0,1,0,0,6.2,0,Delivered within plan,Pending clearance
HIST-00049,Power,Maharashtra,177.5,188.4,18,14,90.3,87.6,4,3,0,0,0,1,6.7,6,6-month delay,Milestone slippage
HIST-00050,Roads,Tamil Nadu,109.1,111.1,29,33,100.0,95.5,11,1,0,0,0,0,5.1,0,Delivered within plan,No material delay
HIST-00051,Power,Rajasthan,82.1,84.9,40,26,68.1,72.7,9,0,0,0,1,0,2.0,2,2-month delay,Funding release
HIST-00052,Urban Transit,Bihar,179.9,186.9,34,41,95.0,90.6,9,1,1,0,0,0,-2.2,6,6-month delay,Land acquisition
HIST-00053,Roads,Maharashtra,147.3,150.0,63,25,32.0,32.2,12,0,0,0,0,0,5.3,0,Delivered within plan,No material delay
HIST-00054,Roads,Maharashtra,228.3,255.3,37,42,95.7,85.0,6,2,0,0,0,1,6.7,4,4-month delay,Milestone slippage
HIST-00055,Power,Gujarat,1507.4,1585.9,37,53,94.9,99.3,6,1,0,0,0,1,6.7,1,1-month delay,No material delay
HIST-00056,Industrial Corridors,Gujarat,424.8,453.2,12,62,95.1,86.5,4,2,1,0,0,0,5.3,8,8-month delay,Land acquisition
HIST-00057,Ports,Haryana,69.1,69.4,53,83,100.0,100.0,16,0,0,0,0,0,6.4,0,Delivered within plan,No material delay
HIST-00058,Water & Sanitation,Karnataka,212.5,242.2,53,46,89.0,75.4,16,1,0,1,1,0,9.3,2,2-month delay,Funding release
HIST-00059,Industrial Corridors,Gujarat,132.5,143.1,48,66,100.0,100.0,14,1,1,0,0,0,3.6,0,Delivered within plan,Land acquisition
HIST-00060,Urban Transit,Andhra Pradesh,164.4,166.9,41,66,99.0,91.4,10,0,0,1,0,0,-3.6,0,Delivered within plan,Pending clearance
HIST-00061,Urban Transit,Odisha,560.3,605.7,72,73,98.9,100.0,19,2,0,1,0,0,6.6,2,2-month delay,Milestone slippage
HIST-00062,Industrial Corridors,Karnataka,350.9,355.1,55,27,65.0,67.2,13,0,0,1,0,0,-12.0,1,1-month delay,Pending clearance
HIST-00063,Water & Sanitation,Gujarat,597.8,613.0,67,23,27.1,28.3,20,0,0,0,0,0,5.2,0,Delivered within plan,No material delay
HIST-00064,Power,Uttar Pradesh,207.5,226.1,52,60,96.0,78.9,11,2,0,0,0,0,14.4,3,3-month delay,Milestone slippage
HIST-00065,Railways,Telangana,306.7,320.2,47,73,100.0,95.4,11,0,0,0,0,0,3.9,0,Delivered within plan,No material delay
HIST-00066,Railways,Jharkhand,492.8,514.6,35,74,91.0,100.0,8,0,0,0,0,0,4.9,0,Delivered within plan,No material delay
HIST-00067,Railways,Rajasthan,77.2,90.9,56,75,100.0,82.7,12,2,1,1,1,0,1.6,9,9-month delay,Land acquisition
HIST-00068,Water & Sanitation,Karnataka,184.1,191.4,13,36,100.0,97.6,5,0,0,0,0,0,-6.3,0,Delivered within plan,No material delay
HIST-00069,Power,Tamil Nadu,344.9,379.0,12,35,100.0,79.7,4,1,1,0,0,0,6.1,2,2-month delay,Land acquisition
HIST-00070,Roads,Kerala,248.2,278.6,44,50,100.0,88.3,10,1,1,0,0,0,11.2,0,Delivered within plan,Land acquisition
HIST-00071,Roads,Rajasthan,515.1,538.6,15,24,92.3,89.8,4,0,0,0,1,0,4.3,1,1-month delay,Funding release
HIST-00072,Urban Transit,Bihar,166.9,182.0,21,84,78.3,74.4,8,2,0,0,0,1,4.6,7,7-month delay,Milestone slippage
HIST-00073,Water & Sanitation,Tamil Nadu,390.7,404.3,37,24,64.5,70.4,9,2,0,0,0,0,10.0,1,1-month delay,Milestone slippage
HIST-00074,Water & Sanitation,Telangana,177.4,180.5,38,55,94.0,88.5,8,0,0,0,0,0,-2.1,1,1-month delay,No material delay
HIST-00075,Roads,Andhra Pradesh,110.5,111.3,57,42,63.2,64.9,13,0,1,0,0,0,1.2,1,1-month delay,Land acquisition
HIST-00076,Power,Karnataka,743.7,806.9,60,48,77.1,59.2,19,0,0,0,1,1,-0.1,1,1-month delay,Funding release
HIST-00077,Railways,Rajasthan,96.0,98.7,41,7,24.1,28.3,11,1,0,0,0,0,-2.3,0,Delivered within plan,No material delay
HIST-00078,Railways,Kerala,139.6,142.9,42,39,100.0,96.7,12,1,0,1,0,0,-1.6,0,Delivered within plan,Pending clearance
HIST-00079,Roads,Jharkhand,205.2,231.7,40,68,100.0,96.8,12,6,0,0,0,0,12.1,9,9-month delay,Milestone slippage
HIST-00080,Railways,Rajasthan,121.4,125.1,33,83,89.8,80.0,6,1,0,0,0,0,4.5,3,3-month delay,No material delay
HIST-00081,Power,Telangana,406.2,417.3,36,82,100.0,86.9,5,0,1,0,0,0,3.5,0,Delivered within plan,Land acquisition
HIST-00082,Industrial Corridors,Maharashtra,226.0,249.8,51,80,94.4,89.4,9,0,1,0,1,0,4.1,1,1-month delay,Land acquisition
HIST-00083,Roads,Maharashtra,442.3,514.0,73,66,90.8,79.5,20,3,1,0,0,0,11.5,8,8-month delay,Land acquisition
HIST-00084,Railways,Rajasthan,74.7,76.5,34,14,40.5,37.8,4,0,0,0,0,1,-5.2,0,Delivered within plan,No material delay
HIST-00085,Ports,Uttar Pradesh,111.3,120.9,35,40,100.0,100.0,7,1,1,0,0,0,9.1,1,1-month delay,Land acquisition
HIST-00086,Power,Telangana,304.2,318.2,19,72,99.4,86.5,8,0,0,0,0,0,6.4,1,1-month delay,No material delay
HIST-00087,Roads,Gujarat,279.3,332.5,60,42,61.8,45.7,14,2,1,0,1,1,5.2,9,9-month delay,Land acquisition
HIST-00088,Water & Sanitation,Bihar,67.0,82.1,74,60,93.2,100.0,20,5,1,0,1,1,18.6,10,10-month delay,Land acquisition
HIST-00089,Water & Sanitation,Kerala,127.7,129.0,36,16,39.2,26.5,9,0,0,0,0,0,-4.7,0,Delivered within plan,No material delay
HIST-00090,Industrial Corridors,Odisha,452.8,460.4,46,17,35.3,39.3,12,0,0,0,0,0,4.1,0,Delivered within plan,No material delay
HIST-00091,Railways,Madhya Pradesh,63.6,74.4,51,20,33.2,40.2,15,1,1,1,0,1,10.4,7,7-month delay,Land acquisition
HIST-00092,Railways,West Bengal,588.4,607.1,45,75,89.3,85.6,9,2,0,0,0,0,9.2,0,Delivered within plan,Milestone slippage
HIST-00093,Industrial Corridors,Tamil Nadu,149.7,153.5,59,28,39.4,52.1,17,0,0,0,0,0,-2.2,0,Delivered within plan,No material delay
HIST-00094,Roads,Jharkhand,105.8,121.2,35,78,96.3,100.0,7,1,1,1,0,1,9.7,6,6-month delay,Land acquisition
HIST-00095,Industrial Corridors,Rajasthan,302.4,310.6,64,21,23.3,30.7,14,0,0,0,0,0,-4.9,0,Delivered within plan,No material delay
HIST-00096,Urban Transit,Andhra Pradesh,242.3,245.3,49,63,100.0,92.0,13,0,0,1,0,0,1.6,1,1-month delay,Pending clearance
HIST-00097,Water & Sanitation,Bihar,1492.8,1521.5,27,69,100.0,100.0,5,0,0,0,0,0,4.6,0,Delivered within plan,No material delay
HIST-00098,Airports,Kerala,406.9,443.1,70,26,48.8,56.1,18,5,0,0,0,0,10.2,8,8-month delay,Milestone slippage
HIST-00099,Industrial Corridors,Maharashtra,764.2,773.2,31,58,96.2,91.9,9,0,0,0,0,0,-3.8,1,1-month delay,No material delay
HIST-00100,Railways,Odisha,374.7,386.2,14,47,94.9,94.1,9,1,0,0,0,0,-3.5,0,Delivered within plan,No material delay
HIST-00101,Urban Transit,Telangana,228.1,239.3,13,26,93.2,100.0,5,1,0,0,0,0,-6.0,1,1-month delay,No material delay
HIST-00102,Roads,Gujarat,347.1,369.4,62,17,14.5,22.5,15,2,0,1,0,0,5.8,0,Delivered within plan,Milestone slippage
HIST-00103,Urban Transit,Maharashtra,190.5,208.6,49,16,36.3,26.9,13,2,0,0,1,0,13.0,0,Delivered within plan,Milestone slippage
HIST-00104,Industrial Corridors,Andhra Pradesh,465.4,532.9,62,55,96.3,100.0,15,3,1,1,0,0,2.7,10,10-month delay,Land acquisition
HIST-00105,Ports,Andhra Pradesh,403.0,415.3,55,75,100.0,100.0,17,0,0,0,0,0,1.1,0,Delivered within plan,No material delay
HIST-00106,Ports,Haryana,427.5,475.6,30,10,18.9,23.8,8,2,0,1,0,1,6.4,0,Delivered within plan,Milestone slippage
HIST-00107,Water & Sanitation,Gujarat,294.6,310.8,28,54,85.8,81.1,7,0,0,1,1,0,-3.3,3,3-month delay,Funding release
HIST-00108,Power,Maharashtra,196.2,228.9,25,80,93.1,84.4,4,3,0,1,0,1,15.4,0,Delivered within plan,Milestone slippage
HIST-00109,Water & Sanitation,Telangana,93.0,94.3,37,65,94.4,94.9,9,1,0,0,0,0,7.3,6,6-month delay,No material delay
HIST-00110,Railways,Telangana,153.1,183.3,21,84,100.0,84.3,4,2,1,1,1,0,14.3,8,8-month delay,Land acquisition
HIST-00111,Industrial Corridors,Bihar,329.6,333.7,43,64,100.0,88.2,12,1,0,0,0,0,1.3,4,4-month delay,No material delay
HIST-00112,Roads,Bihar,168.0,171.0,26,6,14.0,18.5,8,1,0,0,0,0,-0.9,0,Delivered within plan,No material delay
HIST-00113,Industrial Corridors,Rajasthan,184.8,194.3,61,29,53.6,55.4,15,2,0,0,0,0,0.4,0,Delivered within plan,Milestone slippage
HIST-00114,Railways,Gujarat,122.3,126.4,53,15,32.5,45.2,13,0,1,0,0,0,-3.6,8,8-month delay,Land acquisition
HIST-00115,Power,Uttar Pradesh,378.0,403.1,30,16,43.4,51.4,9,1,0,0,1,0,4.6,1,1-month delay,Funding release
HIST-00116,Water & Sanitation,Bihar,254.6,267.3,35,62,100.0,100.0,5,0,1,0,0,0,4.4,6,6-month delay,Land acquisition
HIST-00117,Industrial Corridors,Madhya Pradesh,82.5,84.9,47,21,36.4,47.8,13,0,0,0,0,0,0.2,0,Delivered within plan,No material delay
HIST-00118,Power,Bihar,783.5,807.5,12,82,100.0,92.7,4,0,0,0,0,0,7.7,0,Delivered within plan,No material delay
HIST-00119,Roads,Maharashtra,224.8,252.5,33,72,100.0,99.0,8,2,1,0,0,1,4.4,10,10-month delay,Land acquisition
HIST-00120,Industrial Corridors,Uttar Pradesh,828.2,841.0,39,26,73.8,69.8,11,3,0,0,0,0,8.3,1,1-month delay,Milestone slippage
HIST-00121,Ports,Jharkhand,157.4,157.4,57,15,30.0,44.8,13,0,0,1,0,0,-9.0,0,Delivered within plan,Pending clearance
HIST-00122,Ports,Jharkhand,69.2,69.9,45,47,92.6,96.0,15,1,0,0,0,0,3.8,2,2-month delay,No material delay
HIST-00123,Industrial Corridors,Uttar Pradesh,145.4,153.9,34,22,57.9,51.9,8,2,0,0,0,0,5.0,6,6-month delay,Milestone slippage
HIST-00124,Roads,West Bengal,302.3,327.3,42,82,100.0,95.6,7,2,0,1,0,0,6.1,6,6-month delay,Milestone slippage
HIST-00125,Roads,Haryana,469.0,542.1,37,50,100.0,82.3,10,1,1,0,1,0,4.5,4,4-month delay,Land acquisition
HIST-00126,Roads,West Bengal,459.3,535.7,49,21,45.6,34.0,11,3,1,0,0,1,11.7,11,11-month delay,Land acquisition
HIST-00127,Urban Transit,Karnataka,433.9,445.4,36,75,100.0,94.6,6,0,0,0,0,0,2.1,1,1-month delay,No material delay
HIST-00128,Ports,Rajasthan,103.1,116.0,45,71,88.1,97.1,13,2,0,0,0,1,11.8,4,4-month delay,Milestone slippage
HIST-00129,Power,Andhra Pradesh,455.6,475.0,46,12,20.3,24.1,12,0,0,0,0,0,0.8,0,Delivered within plan,No material delay
HIST-00130,Railways,Jharkhand,303.3,310.7,61,58,80.3,65.4,19,1,0,0,0,0,-2.6,4,4-month delay,No material delay
HIST-00131,Power,Odisha,361.1,364.2,18,71,100.0,100.0,4,1,0,0,0,0,0.2,0,Delivered within plan,No material delay
HIST-00132,Railways,Kerala,2076.3,2083.6,68,54,81.7,70.7,17,0,1,0,0,0,2.7,1,1-month delay,Land acquisition
HIST-00133,Roads,West Bengal,85.8,89.5,27,38,100.0,99.6,9,1,0,0,0,0,8.7,3,3-month delay,No material delay
HIST-00134,Water & Sanitation,Tamil Nadu,350.3,392.6,61,29,50.8,42.7,15,3,0,0,1,0,12.4,5,5-month delay,Milestone slippage
HIST-00135,Roads,Gujarat,1634.8,1691.8,33,55,95.2,99.5,9,0,0,1,0,1,2.4,0,Delivered within plan,Pending clearance
HIST-00136,Railways,Haryana,119.1,128.8,59,81,100.0,100.0,11,0,1,1,0,0,-4.8,4,4-month delay,Land acquisition
HIST-00137,Power,West Bengal,279.8,290.5,46,62,100.0,98.3,14,1,0,0,0,0,4.5,2,2-month delay,No material delay
HIST-00138,Roads,Telangana,149.8,152.1,57,28,46.7,44.6,15,0,0,0,0,0,-1.0,0,Delivered within plan,No material delay
HIST-00139,Industrial Corridors,Kerala,875.8,1004.1,74,29,43.3,50.5,23,3,1,0,0,1,11.6,0,Delivered within plan,Land acquisition
HIST-00140,Roads,Andhra Pradesh,433.9,480.6,43,53,99.8,100.0,16,2,0,1,0,0,9.2,3,3-month delay,Milestone slippage
HIST-00141,Railways,Jharkhand,81.2,83.4,55,11,28.2,36.1,17,1,0,0,0,0,3.2,4,4-month delay,No material delay
HIST-00142,Ports,Odisha,164.4,174.5,20,6,21.7,27.3,9,1,1,0,0,0,-9.1,7,7-month delay,Land acquisition
HIST-00143,Roads,Maharashtra,194.8,222.7,64,68,98.4,84.4,17,1,1,1,0,1,5.8,8,8-month delay,Land acquisition
HIST-00144,Industrial Corridors,Kerala,259.9,276.3,45,53,92.1,75.8,11,0,0,1,0,1,-4.0,1,1-month delay,Pending clearance
HIST-00145,Roads,Gujarat,244.4,261.3,47,66,73.1,69.7,16,1,0,0,1,0,14.0,2,2-month delay,Funding release
HIST-00146,Railways,Odisha,309.4,349.6,30,27,96.8,100.0,7,3,0,0,1,0,4.6,5,5-month delay,Milestone slippage
HIST-00147,Railways,Jharkhand,40.0,43.6,55,31,63.9,76.3,13,1,1,0,0,0,2.5,6,6-month delay,Land acquisition
HIST-00148,Power,Jharkhand,283.1,287.9,38,74,98.1,96.2,8,0,1,0,0,0,2.6,1,1-month delay,Land acquisition
HIST-00149,Railways,Uttar Pradesh,152.8,163.6,41,73,93.1,75.2,14,0,0,1,0,0,2.9,2,2-month delay,Pending clearance
HIST-00150,Urban Transit,Telangana,169.6,176.3,39,22,65.5,68.5,9,1,0,0,0,1,0.5,0,Delivered within plan,No material delay
HIST-00151,Railways,Rajasthan,396.3,414.5,65,18,35.9,38.1,18,1,0,1,0,0,-4.4,0,Delivered within plan,Pending clearance
HIST-00152,Power,Madhya Pradesh,302.5,321.4,36,17,59.1,71.6,8,3,0,0,0,0,9.3,0,Delivered within plan,Milestone slippage
HIST-00153,Railways,Tamil Nadu,265.0,271.4,41,55,100.0,100.0,12,0,0,1,0,0,0.7,0,Delivered within plan,Pending clearance
HIST-00154,Railways,Gujarat,183.9,189.6,32,6,10.8,0.0,10,0,0,0,0,0,0.2,0,Delivered within plan,No material delay
HIST-00155,Railways,Telangana,355.9,367.5,20,27,96.9,99.7,4,1,0,0,0,0,4.4,0,Delivered within plan,No material delay
HIST-00156,Roads,Odisha,295.0,316.5,48,77,92.1,100.0,12,1,1,0,0,0,1.6,2,2-month delay,Land acquisition
HIST-00157,Urban Transit,Karnataka,68.3,70.2,46,15,40.2,33.9,10,2,0,0,0,0,1.7,3,3-month delay,Milestone slippage
HIST-00158,Railways,Karnataka,366.5,379.8,40,7,16.6,4.2,11,1,0,1,0,0,2.4,1,1-month delay,Pending clearance
HIST-00159,Industrial Corridors,Karnataka,453.1,495.2,22,77,88.1,81.1,5,1,1,1,0,0,4.4,6,6-month delay,Land acquisition
HIST-00160,Airports,Gujarat,338.2,349.2,44,53,94.2,100.0,12,0,0,0,0,0,4.2,0,Delivered within plan,No material delay
HIST-00161,Urban Transit,Rajasthan,344.5,358.3,53,30,65.2,67.8,15,1,0,0,0,0,0.7,0,Delivered within plan,No material delay
HIST-00162,Roads,Bihar,257.7,265.6,65,8,1.0,18.3,15,0,0,0,0,0,2.3,0,Delivered within plan,No material delay
HIST-00163,Urban Transit,Uttar Pradesh,626.9,705.5,57,83,83.8,82.3,12,1,1,0,1,0,6.1,11,11-month delay,Land acquisition
HIST-00164,Roads,Bihar,1664.9,1722.6,50,64,84.6,81.2,15,1,0,0,0,0,3.8,0,Delivered within plan,No material delay
HIST-00165,Water & Sanitation,Madhya Pradesh,86.9,90.6,53,19,23.2,15.9,13,1,0,0,0,0,2.8,0,Delivered within plan,No material delay
HIST-00166,Water & Sanitation,Andhra Pradesh,59.6,71.3,40,77,100.0,99.3,9,3,1,0,1,1,7.3,7,7-month delay,Land acquisition
HIST-00167,Industrial Corridors,Gujarat,146.2,160.2,44,54,100.0,100.0,8,1,1,1,0,0,1.1,7,7-month delay,Land acquisition
HIST-00168,Urban Transit,Madhya Pradesh,58.8,61.1,26,20,81.6,71.5,7,2,0,0,0,0,-0.1,3,3-month delay,Milestone slippage
HIST-00169,Industrial Corridors,Tamil Nadu,345.2,378.5,62,12,31.6,32.2,15,4,0,0,0,1,10.4,6,6-month delay,Milestone slippage
HIST-00170,Roads,Gujarat,120.0,122.4,46,8,23.3,25.3,13,0,1,0,0,0,4.1,1,1-month delay,Land acquisition
HIST-00171,Railways,Haryana,159.6,162.1,52,26,50.7,51.4,10,0,0,1,0,0,1.1,0,Delivered within plan,Pending clearance
HIST-00172,Urban Transit,Tamil Nadu,690.9,700.1,17,40,94.9,99.7,4,1,0,0,0,0,-3.4,3,3-month delay,No material delay
HIST-00173,Roads,Tamil Nadu,226.6,257.8,17,42,98.4,99.5,4,2,1,0,0,1,1.4,8,8-month delay,Land acquisition
HIST-00174,Roads,Haryana,132.0,140.2,53,36,80.5,83.3,14,3,0,0,0,0,6.7,0,Delivered within plan,Milestone slippage
HIST-00175,Urban Transit,Uttar Pradesh,146.5,151.4,70,29,39.1,27.5,20,0,0,0,0,0,-2.1,0,Delivered within plan,No material delay
HIST-00176,Urban Transit,Tamil Nadu,57.7,67.2,27,80,97.1,88.6,7,0,1,0,1,0,0.7,2,2-month delay,Land acquisition
HIST-00177,Ports,Madhya Pradesh,536.1,568.1,61,16,20.4,20.3,14,0,0,0,1,0,-2.5,1,1-month delay,Funding release
HIST-00178,Airports,West Bengal,205.0,224.9,62,33,51.4,48.9,17,1,1,1,0,0,1.9,6,6-month delay,Land acquisition
HIST-00179,Industrial Corridors,Rajasthan,201.5,211.3,36,7,24.7,41.8,10,1,0,0,0,1,-2.8,5,5-month delay,No material delay
HIST-00180,Ports,Uttar Pradesh,49.9,50.9,30,11,36.4,29.7,4,0,0,0,0,0,-9.6,5,5-month delay,No material delay
HIST-00181,Railways,Rajasthan,359.6,402.4,29,66,83.2,73.4,10,0,1,1,0,0,6.6,8,8-month delay,Land acquisition
HIST-00182,Water & Sanitation,Gujarat,273.0,281.6,49,20,40.7,26.5,14,1,0,0,0,0,3.7,4,4-month delay,No material delay
HIST-00183,Roads,Haryana,85.4,99.2,40,83,99.1,100.0,9,3,0,1,0,1,10.5,6,6-month delay,Milestone slippage
HIST-00184,Urban Transit,Telangana,586.8,617.7,23,32,100.0,97.5,4,0,0,0,0,0,-2.3,1,1-month delay,No material delay
HIST-00185,Urban Transit,Jharkhand,396.4,437.2,56,11,27.3,20.6,14,1,0,0,1,0,11.8,0,Delivered within plan,Funding release
HIST-00186,Airports,Kerala,254.8,261.1,37,13,35.4,29.3,12,0,0,0,0,0,4.1,0,Delivered within plan,No material delay
HIST-00187,Industrial Corridors,Karnataka,238.1,258.8,12,55,98.8,95.6,4,1,1,1,0,0,-4.0,5,5-month delay,Land acquisition
HIST-00188,Railways,Odisha,139.6,143.6,62,47,70.6,73.6,17,1,1,1,0,0,5.6,7,7-month delay,Land acquisition
HIST-00189,Water & Sanitation,Kerala,429.8,458.7,64,28,47.7,36.1,20,1,1,0,0,0,0.7,0,Delivered within plan,Land acquisition
HIST-00190,Railways,Bihar,71.5,73.6,44,67,100.0,100.0,13,1,0,0,0,0,8.7,0,Delivered within plan,No material delay
HIST-00191,Water & Sanitation,Madhya Pradesh,187.7,208.6,60,50,93.9,97.7,13,1,1,1,1,0,3.6,7,7-month delay,Land acquisition
HIST-00192,Water & Sanitation,Jharkhand,579.0,613.9,16,49,100.0,100.0,4,0,0,0,0,0,4.2,0,Delivered within plan,No material delay
HIST-00193,Industrial Corridors,Rajasthan,335.9,378.1,48,46,100.0,83.7,15,3,1,0,0,0,0.7,1,1-month delay,Land acquisition
